
978-0-06-112241-5,To Kill a Mockingbird,Harper Lee,Fiction,TRUE
978-1-4028-9462-6,1984,George Orwell,Dystopian,TRUE
978-0-7432-7356-5,The Da Vinci Code,Dan Brown,Thriller,TRUE
978-1-86197-876-9,The Catcher in The Rye,J.D. Salinger,Fiction,FALSE
978-0-316-01792-3,The Road,Cormac McCarthy,Fiction,TRUE
978-0-14-028333-4,Pride and Prejudice,Jane Austen,Classic Fiction,TRUE
978-0-525-95032-4,Brief History of Humankind,Yuval Harari,History,FALSE
978-0-14-312854-0,The Goldfinch,Donna Tartt,Fiction,FALSE
978-1-78470-458-8,Educated:A Memoir,Tara Westover,Memoir,TRUE
978-0-452-28423-4,Fahrenheit 451,Ray Bradbury,Science Fiction,TRUE2222,ok,who,act
1234567,testing book,Toosi-e slide,Prose
2222222,How I met your mother,Toosi-e Slide,Romance
11111111111,Hellow world,Who are yoy,Lies
Test,This is a test,Soji Lasaki,Action and Romance
1010101010110,Hello World,Soji,Fiction
